,count,unique,top,freq,mean,std,min,25%,50%,75%,max,Tipo de dato,Valores ̼nicos
Vict Sex,85639,4,M,40477,,,,,,,,object,4
Vict Age,100000.0,,,,28.98057,22.035580050065224,-2.0,0.0,30.0,44.0,99.0,int64,101
Vict Descent,85638,19,H,29465,,,,,,,,object,19
LAT,100000.0,,,,33.998430701000004,1.6111474355424846,0.0,34.0148,34.0591,34.1649,34.333,float64,4723
LON,100000.0,,,,-118.09084296900002,5.58382784250494,-118.6676,-118.4312,-118.3225,-118.2739,0.0,float64,4540
AREA NAME,100000,21,Central,6945,,,,,,,,object,21
Premis Desc,99947,287,STREET,25861,,,,,,,,object,287
DATE OCC,100000,1847,1/1/2023 0:00,123,,,,,,,,object,1847
TIME OCC,100000.0,,,,1343.61234,650.0343977720981,1.0,900.0,1420.0,1900.0,2359.0,int64,1433
Crm Cd Desc,100000,128,VEHICLE - STOLEN,11459,,,,,,,,object,128
Part 1-2,100000.0,,,,1.40049,0.4900001641852832,1.0,1.0,1.0,2.0,2.0,int64,2
Weapon Desc,32505,73,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",17360,,,,,,,,object,73
